algoritmo	kitdecaptura	preprocesado	muestra	gold_standard	Precision	Recall	Fscore	QueryTpCount	QueryFpCount	QueryTotalCount	TruthTpCount	TruthFnCount	TruthTotalCount
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 4	general	0.023454157782515993	0.0373675404350251	0.02881945802213272	11	458	469	67	1726	1793
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 4	pass	0.010660980810234541	0.10861423220973783	0.019416175682913765	5	464	469	29	238	267
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 3	general	0.07386363636363637	0.03792526491912995	0.05011764038892196	13	163	176	68	1725	1793
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 3	pass	0.03409090909090909	0.09737827715355805	0.05050178051149239	6	170	176	26	241	267
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.07471264367816093	0.03792526491912995	0.050311601832617174	13	161	174	68	1725	1793
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.034482758620689655	0.09737827715355805	0.050930460333006855	6	168	174	26	241	267
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.022813688212927757	0.015616285554935862	0.018540999889636905	6	257	263	28	1765	1793
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.011406844106463879	0.02247191011235955	0.015132408575031526	3	260	263	6	261	267
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.0821256038647343	0.05633017289459007	0.06682493967463221	17	190	207	101	1692	1793
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.024154589371980676	0.0898876404494382	0.03807710613993336	5	202	207	24	243	267
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.038338658146964855	0.0384829894032348	0.03841068819149677	12	301	313	69	1724	1793
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.012779552715654952	0.026217228464419477	0.01718318502608162	4	309	313	7	260	267
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.08759124087591241	0.04749478079331942	0.061592261485095466	24	250	274	91	1825	1916
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.032846715328467155	0.09748427672955975	0.04913702007749208	9	265	274	31	287	318
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.09090909090909091	0.04697286012526096	0.061940812112869933	19	190	209	90	1826	1916
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.028708133971291867	0.08176100628930817	0.04249523290656497	6	203	209	26	292	318
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.11267605633802817	0.0511482254697286	0.070358072332406	24	189	213	98	1818	1916
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.03286384976525822	0.06918238993710692	0.04456018518518518	7	206	213	22	296	318
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.08424908424908426	0.04645093945720251	0.05988444379433922	23	250	273	89	1827	1916
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.03296703296703297	0.09748427672955975	0.04927152317880795	9	264	273	31	287	318
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.10655737704918032	0.06732776617954071	0.08251734488018501	26	218	244	129	1787	1916
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.03278688524590164	0.11320754716981132	0.05084745762711864	8	236	244	36	282	318
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.08940397350993377	0.07150313152400835	0.07945782226709341	27	275	302	137	1779	1916
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.033112582781456956	0.12578616352201258	0.05242463958060289	10	292	302	40	278	318
exomedepth	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.08270676691729323	0.018364669873196328	0.030055622418111445	11	122	133	42	2245	2287
exomedepth	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.05263157894736842	0.06948640483383686	0.05989583333333333	7	126	133	23	308	331
exomedepth	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.08270676691729323	0.018364669873196328	0.030055622418111445	11	122	133	42	2245	2287
exomedepth	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	pass	0.05263157894736842	0.06948640483383686	0.05989583333333333	7	126	133	23	308	331
exomedepth	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	general	0.12209302325581395	0.05115872321818977	0.07210459127525642	21	151	172	117	2170	2287
exomedepth	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	pass	0.046511627906976744	0.11782477341389729	0.06669516887558787	8	164	172	39	292	331
laconv	IDT-V2	bowtie2-picard-gatk3	Réplica 4	general	0.0007911079466793244	0.0384829894032348	0.0015503449236595555	40	50522	50562	69	1724	1793
laconv	IDT-V2	bowtie2-picard-gatk3	Réplica 4	pass	0.00025711008267078044	0.09363295880149813	0.0005128120165267479	13	50549	50562	25	242	267
laconv	IDT-V2	bowtie2-picard-gatk3	Réplica 3	general	0.0035460992907801418	0.006134969325153374	0.00449438202247191	7	1967	1974	11	1782	1793
laconv	IDT-V2	bowtie2-picard-gatk3	Réplica 3	pass	0.00303951367781155	0.033707865168539325	0.0055762081784386614	6	1968	1974	9	258	267
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.0034791252485089465	0.006134969325153374	0.004440215667618142	7	2005	2012	11	1782	1793
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.002982107355864811	0.033707865168539325	0.005479452054794521	6	2006	2012	9	258	267
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.0006748466257668712	0.03179029559397657	0.0013216374392273375	33	48867	48900	57	1736	1793
laconv	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.00022494887525562372	0.08614232209737828	0.0004487259641178855	11	48889	48900	23	244	267
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.00537371763556424	0.010596765197992191	0.007131158727992356	11	2036	2047	19	1774	1793
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.0029311187103077674	0.033707865168539325	0.005393258426966292	6	2041	2047	9	258	267
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.0007881494654729907	0.03513664249860569	0.00154171670814305	39	49444	49483	63	1730	1793
laconv	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.0002425075278378433	0.08614232209737828	0.0004836534763031701	12	49471	49483	23	244	267
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.019230769230769232	0.010960334029227558	0.01396276595744681	9	459	468	21	1895	1916
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.010683760683760684	0.031446540880503145	0.015948963317384372	5	463	468	10	308	318
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.0071794871794871795	0.006263048016701462	0.00669002867155145	7	968	975	12	1904	1916
laconv	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.0041025641025641026	0.0220125786163522	0.0069161417809065085	4	971	975	7	311	318
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.007172131147540984	0.006263048016701462	0.006686833306798281	7	969	976	12	1904	1916
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.004098360655737705	0.0220125786163522	0.006910167818361303	4	972	976	7	311	318
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.019189765458422176	0.010960334029227558	0.013951943306389105	9	460	469	21	1895	1916
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.010660980810234541	0.031446540880503145	0.01592356687898089	5	464	469	10	308	318
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.005847953216374269	0.0041753653444676405	0.0048721071863581	6	1020	1026	8	1908	1916
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.0029239766081871343	0.009433962264150943	0.004464285714285714	3	1023	1026	3	315	318
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.014953271028037384	0.007828810020876827	0.01027705219886096	8	527	535	15	1901	1916
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.009345794392523364	0.031446540880503145	0.014409221902017289	5	530	535	10	308	318
laconv	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.000988560937720661	0.00874508089199825	0.0017763228847483647	7	7074	7081	20	2267	2287
laconv	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.0005648919644118063	0.01812688821752266	0.0010956402647797306	4	7077	7081	6	325	331
laconv	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.0009877240016932412	0.00874508089199825	0.0017749716321498075	7	7080	7087	20	2267	2287
laconv	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	pass	0.0005644137152532807	0.01812688821752266	0.0010947406833006434	4	7083	7087	6	325	331
laconv	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	general	0.0015120274914089348	0.011805859204197638	0.002680723163433853	11	7264	7275	27	2260	2287
laconv	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	pass	0.000549828178694158	0.01812688821752266	0.0010672833192511228	4	7271	7275	6	325	331
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 4	general	0.1111111111111111	0.005577244841048522	0.010621348911311737	1	8	9	10	1783	1793
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 4	pass	0.0	0.0	NaN	0	9	9	0	267	267
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 3	general	0.15789473684210525	0.006692693809258227	0.01284109149277689	3	16	19	12	1781	1793
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 3	pass	0.10526315789473684	0.04119850187265917	0.059219380888290714	2	17	19	11	256	267
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.15789473684210525	0.006692693809258227	0.01284109149277689	3	16	19	12	1781	1793
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.10526315789473684	0.04119850187265917	0.059219380888290714	2	17	19	11	256	267
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.08333333333333333	0.005577244841048522	0.010454783063251438	1	11	12	10	1783	1793
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.0	0.0	NaN	0	12	12	0	267	267
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.15217391304347827	0.022308979364194088	0.038913209644916964	7	39	46	40	1753	1793
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.06521739130434782	0.04119850187265917	0.05049732211170619	3	43	46	11	256	267
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.043478260869565216	0.005577244841048522	0.009886307464162135	1	22	23	10	1783	1793
xhmm	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.0	0.0	NaN	0	23	23	0	267	267
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.05263157894736842	0.016701461377870562	0.02535657686212361	4	72	76	32	1884	1916
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.039473684210526314	0.06289308176100629	0.04850444624090542	3	73	76	20	298	318
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.06315789473684211	0.02139874739039666	0.03196673380547073	6	89	95	41	1875	1916
xhmm	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.010526315789473684	0.031446540880503145	0.01577287066246057	1	94	95	10	308	318
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.06315789473684211	0.02139874739039666	0.03196673380547073	6	89	95	41	1875	1916
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.010526315789473684	0.031446540880503145	0.01577287066246057	1	94	95	10	308	318
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.05263157894736842	0.016701461377870562	0.02535657686212361	4	72	76	32	1884	1916
xhmm	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.039473684210526314	0.06289308176100629	0.04850444624090542	3	73	76	20	298	318
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.08333333333333333	0.037578288100208766	0.051798561151079135	10	110	120	72	1844	1916
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.016666666666666666	0.059748427672955975	0.02606310013717421	2	118	120	19	299	318
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.09345794392523364	0.03444676409185804	0.05033940965601403	10	97	107	66	1850	1916
xhmm	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.056074766355140186	0.11006289308176101	0.07429683353971342	6	101	107	35	283	318
