algoritmo	kitdecaptura	preprocesado	muestra	gold_standard	Precision	Recall	Fscore	QueryTpCount	QueryFpCount	QueryTotalCount	TruthTpCount	TruthFnCount	TruthTotalCount	svtype
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 4	general	0.023605150214592276	0.04904831625183016	0.03187164850371908	11	455	466	67	1299	1366	Deletion
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 4	general	0.0	0.0	NaN	0	3	3	0	427	427	Duplication
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 4	pass	0.01072961373390558	0.11462450592885376	0.019622437242032616	5	461	466	29	224	253	Deletion
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 4	pass	0.0	0.0	NaN	0	3	3	0	14	14	Duplication
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 3	general	0.11428571428571428	0.0424597364568082	0.06191619962636776	12	93	105	58	1308	1366	Deletion
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 3	general	0.014084507042253521	0.0234192037470726	0.01759014951627089	1	70	71	10	417	427	Duplication
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 3	pass	0.05714285714285714	0.10276679841897234	0.07344632768361582	6	99	105	26	227	253	Deletion
exomedepth	IDT-V2	bowtie2-picard-gatk3	Réplica 3	pass	0.0	0.0	NaN	0	71	71	0	14	14	Duplication
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.11650485436893204	0.0424597364568082	0.06223732451041761	12	91	103	58	1308	1366	Deletion
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.014084507042253521	0.0234192037470726	0.01759014951627089	1	70	71	10	417	427	Duplication
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.05825242718446602	0.10276679841897234	0.07435653002859867	6	97	103	26	227	253	Deletion
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.0	0.0	NaN	0	71	71	0	14	14	Duplication
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.020161290322580645	0.013177159590043924	0.01593766601735435	5	243	248	18	1348	1366	Deletion
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.06666666666666667	0.0234192037470726	0.03466204506065858	1	14	15	10	417	427	Duplication
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.012096774193548387	0.023715415019762844	0.016021361815754337	3	245	248	6	247	253	Deletion
exomedepth	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.0	0.0	NaN	0	15	15	0	14	14	Duplication
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.1504424778761062	0.0739385065885798	0.09914826043020065	17	96	113	101	1265	1366	Deletion
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.0	0.0	NaN	0	94	94	0	427	427	Duplication
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.04424778761061947	0.09486166007905138	0.06034699522252955	5	108	113	24	229	253	Deletion
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.0	0.0	NaN	0	94	94	0	14	14	Duplication
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.04054054054054054	0.050512445095168376	0.044980443285528034	12	284	296	69	1297	1366	Deletion
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.0	0.0	NaN	0	17	17	0	427	427	Duplication
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.013513513513513514	0.02766798418972332	0.018158236057068743	4	292	296	7	246	253	Deletion
exomedepth	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.0	0.0	NaN	0	17	17	0	14	14	Duplication
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.12307692307692308	0.06271536871123363	0.08309079495520175	24	171	195	91	1360	1451	Deletion
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.0	0.0	NaN	0	79	79	0	465	465	Duplication
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.046153846153846156	0.10264900662251655	0.06367682300581994	9	186	195	31	271	302	Deletion
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.0	0.0	NaN	0	79	79	0	16	16	Duplication
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.13286713286713286	0.06202618883528601	0.08457182422908578	19	124	143	90	1361	1451	Deletion
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.0	0.0	NaN	0	66	66	0	465	465	Duplication
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.04195804195804196	0.08609271523178808	0.05641952983725136	6	137	143	26	276	302	Deletion
exomedepth	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.0	0.0	NaN	0	66	66	0	16	16	Duplication
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.1518987341772152	0.06753962784286699	0.09350401526596168	24	134	158	98	1353	1451	Deletion
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.0	0.0	NaN	0	55	55	0	465	465	Duplication
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.04430379746835443	0.0728476821192053	0.05509838998211091	7	151	158	22	280	302	Deletion
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.0	0.0	NaN	0	55	55	0	16	16	Duplication
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.11855670103092783	0.061337008959338385	0.08084677817492446	23	171	194	89	1362	1451	Deletion
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.0	0.0	NaN	0	79	79	0	465	465	Duplication
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.04639175257731959	0.10264900662251655	0.06390288593678424	9	185	194	31	271	302	Deletion
exomedepth	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.0	0.0	NaN	0	79	79	0	16	16	Duplication
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.17105263157894737	0.08890420399724328	0.1169986395507029	26	126	152	129	1322	1451	Deletion
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.0	0.0	NaN	0	92	92	0	465	465	Duplication
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.05263157894736842	0.11920529801324503	0.07302231237322515	8	144	152	36	266	302	Deletion
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.0	0.0	NaN	0	92	92	0	16	16	Duplication
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.15976331360946747	0.09441764300482426	0.11869083908230386	27	142	169	137	1314	1451	Deletion
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.0	0.0	NaN	0	133	133	0	465	465	Duplication
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.05917159763313609	0.13245033112582782	0.081799591002045	10	159	169	40	262	302	Deletion
exomedepth	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.0	0.0	NaN	0	133	133	0	16	16	Duplication
exomedepth	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.13580246913580246	0.023863636363636365	0.04059397241015728	11	70	81	42	1718	1760	Deletion
exomedepth	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.0	0.0	NaN	0	52	52	0	527	527	Duplication
exomedepth	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.08641975308641975	0.07278481012658228	0.07901840490797546	7	74	81	23	293	316	Deletion
exomedepth	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.0	0.0	NaN	0	52	52	0	15	15	Duplication
exomedepth	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.1375	0.023863636363636365	0.040669014084507044	11	69	80	42	1718	1760	Deletion
exomedepth	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.0	0.0	NaN	0	53	53	0	527	527	Duplication
